Strategy,Total Return,Sharpe Ratio,Max Drawdown,Total Trades,Win Rate
triple_threat,-0.12%,-0.10,-0.58%,303,49.50%
bounce_back,-1.88%,-0.79,-2.15%,1055,45.40%
cnn_lstm_strategy,100.99%,2.76,-6.86%,15494,57.45%
